carrier,origin_country,destination_country,clicks_client,clicks_competitor,clicks_airlines
MS,Italy,South Africa,0,1,0
KQ,France,Nigeria,1,0,1
NO,Dominican Republic,Italy,0,7,0
LX,United States,Italy,3,4,3
A3,Spain,Greece,0,2,0
EY,Italy,Singapore,15,7,15
W6,Italy,Sri Lanka,0,9,0
ET,Thailand,Italy,2,0,2
FR,Italy,Kenya,0,1,0
TW,Australia,South Korea,0,3,0
U2,Tunisia,United Kingdom,2,0,2
UK,India,Indonesia,0,2,0
SN,Hungary,Belgium,1,0,1
NO,Italy,Iceland,1,0,1
W6,Armenia,Spain,0,1,0
G3,Argentina,Brazil,0,6,0
AF,Italy,Costa Rica,7,1,7
3F,Italy,Armenia,1,2,1
W6,Italy,Singapore,0,2,0
BR,Italy,Indonesia,0,10,0
G3,Argentina,Italy,0,2,0
W9,Portugal,United Kingdom,1,0,1
IB,Italy,South Korea,0,1,0
CZ,China,Vietnam,1,0,1
MK,United Arab Emirates,Mauritius,2,0,2
ME,Lebanon,Italy,0,2,0
SN,Italy,Netherlands,0,1,0
LA,United Kingdom,Brazil,0,3,0
AF,Italy,Morocco,3,11,3
FR,France,Romania,1,0,1
OS,Austria,Slovakia,1,0,1
G3,Paraguay,Italy,0,4,0
NO,Italy,Kazakhstan,0,1,0
G9,Kenya,Sri Lanka,1,0,1
DX,Italy,Italy,0,27,0
NO,Italy,Canada,8,8,8
W6,Albania,,0,1,0
FR,Italy,Georgia,0,5,0
JQ,Australia,Thailand,2,0,2
RO,Italy,,0,2,0
KL,Italy,U.S. Virgin Islands,0,1,0
AZ,Malta,Italy,2,5,2
LH,Italy,Mongolia,0,1,0
KL,Italy,Poland,2,0,2
QH,Vietnam,United Arab Emirates,0,1,0
ZL,Australia,,0,10,0
DT,Angola,Angola,0,4,0
MH,Thailand,Malaysia,3,0,3
LA,Chile,Argentina,0,5,0
FJ,Fiji,Italy,0,1,0
PR,Singapore,Australia,0,1,0
LX,Belgium,Italy,1,0,1
VY,Netherlands,Spain,2,9,2
OM,Mongolia,South Korea,0,2,0
U2,Switzerland,Hungary,5,0,5
AC,Canada,France,1,0,1
FR,Hungary,Czech Republic,0,1,0
LX,Switzerland,Cyprus,1,0,1
KL,Italy,Netherlands,130,105,129
HV,France,Italy,35,36,35
FR,Lithuania,Italy,1,15,1
TP,Brazil,Portugal,3,2,3
ZB,Albania,Italy,0,16,0
ET,Ethiopia,Madagascar,2,0,2
W6,Portugal,Italy,12,16,12
WS,Canada,Canada,1,3,1
4Y,Germany,Greece,0,1,0
AV,Puerto Rico,Chile,1,1,1
LH,Norway,Germany,2,1,2
W6,Italy,Croatia,0,3,0
W9,United Kingdom,Turkey,3,0,3
VY,Portugal,France,3,0,3
RJ,Jordan,Italy,0,1,0
EK,Ivory Coast,Italy,1,0,1
LH,Malta,Germany,1,0,1
HF,Benin,Tanzania,0,1,0
OD,Thailand,Malaysia,0,6,0
QR,Australia,Italy,4,5,4
EK,Italy,Vietnam,4,4,4
MH,Malaysia,Malaysia,4,8,4
W6,Italy,Moldova,1,0,1
EK,India,Italy,2,5,2
LH,Dominican Republic,Italy,0,1,0
WF,Norway,Italy,0,3,0
OS,Poland,Italy,0,1,0
U2,Italy,Albania,0,2,0
W6,Germany,Egypt,0,1,0
MS,Italy,Tanzania,0,30,0
BA,United Kingdom,Italy,40,21,40
KL,Italy,Ecuador,5,14,5
AZ,Italy,Bolivia,0,3,0
LX,Italy,Czech Republic,4,1,4
SN,Italy,United States,0,13,0
EK,United Arab Emirates,Japan,2,0,2
AF,France,Netherlands,1,0,1
AD,Brazil,Italy,0,8,0
SN,Italy,Ghana,1,3,1
D7,Malaysia,Indonesia,0,2,0
LX,Italy,Sri Lanka,0,2,0
VJ,Vietnam,Singapore,0,2,0
W6,United Arab Emirates,Romania,2,0,2
TR,Thailand,Philippines,0,1,0
QR,China,Albania,0,1,0
EK,United Kingdom,Maldives,1,0,1
6H,Egypt,Israel,0,4,0
KL,Spain,Italy,6,0,6
VY,Italy,Netherlands,18,23,18
SK,Italy,Norway,5,21,5
FR,Luxembourg,Italy,3,3,3
KS,Italy,Cape Verde,0,1,0
KL,Italy,Jamaica,0,1,0
LH,Austria,United States,0,1,0
AT,Cameroon,Italy,0,2,0
UX,Portugal,Italy,1,1,1
TK,Tanzania,Italy,2,3,2
PC,Bosnia and Herzegovina,Turkey,0,2,0
W6,Albania,Netherlands,1,0,1
E9,Spain,Cuba,4,12,4
G9,Italy,Pakistan,1,6,1
3L,United Arab Emirates,Oman,0,3,0
AV,Colombia,Dominican Republic,2,1,2
KU,Italy,Bangladesh,0,3,0
D7,Malaysia,Australia,0,1,0
W6,Italy,Georgia,9,6,9
ZG,South Korea,Japan,3,3,3
