carrier,origin_country,destination_country,clicks_travix,clicks_competitor,clicks_airlines
BA,Spain,Italy,0,3,0
EC,Italy,France,0,3,0
BA,France,United States,3,2,3
BA,Republic of Ireland,Brazil,0,1,0
GF,France,United Arab Emirates,0,1,0
BA,Canada,Italy,1,1,1
EW,Italy,,0,2,0
,Germany,Argentina,1,0,1
QR,Malta,Vietnam,1,0,1
EK,Slovenia,Indonesia,0,1,0
VY,Italy,United Kingdom,87,35,86
U2,Italy,Morocco,55,16,54
EC,Italy,Spain,0,6,0
HU,Italy,China,0,11,0
TP,Italy,Venezuela,3,7,3
FR,Italy,Moldova,0,3,0
AT,Ghana,Italy,0,4,0
LH,Colombia,Italy,3,0,3
Q4,Spain,Cuba,0,2,0
W4,France,Austria,0,1,0
5J,Philippines,Philippines,2,2,2
AF,Italy,China,7,36,7
KM,Italy,Germany,0,9,0
VJ,Taiwan,Vietnam,0,2,0
LX,Cyprus,Italy,0,2,0
FO,Argentina,Brazil,0,1,0
LY,Israel,Thailand,3,1,3
JU,Italy,Japan,0,2,0
DE,Germany,United States,1,0,1
HV,France,Spain,3,3,3
CZ,Italy,Thailand,0,3,0
KL,United Kingdom,United States,0,2,0
LH,Italy,Republic of Ireland,2,1,2
AZ,Italy,Armenia,0,1,0
AF,Italy,Switzerland,0,1,0
JQ,Singapore,Malaysia,1,0,1
GM,Egypt,Switzerland,2,0,2
TP,Portugal,United Kingdom,1,0,1
EW,Spain,Greece,0,1,0
FR,Austria,Sweden,0,1,0
EK,Italy,Pakistan,1,0,1
U2,Portugal,Portugal,11,2,11
VY,Italy,Poland,0,3,0
AZ,Italy,Jordan,2,5,2
AZ,Italy,Mauritius,0,3,0
AK,Indonesia,Malaysia,0,7,0
LH,Italy,Malta,0,3,0
EK,New Zealand,Italy,0,1,0
ID,Indonesia,Singapore,0,1,0
FR,Germany,United Kingdom,2,2,2
TK,Italy,Burkina Faso,1,1,1
KL,Italy,Iceland,0,2,0
BA,United Kingdom,France,1,1,1
AZ,Italy,Germany,25,60,25
EW,Portugal,Germany,2,0,2
LX,Switzerland,Italy,7,28,7
KS,Italy,Italy,1,1,1
FR,France,Luxembourg,0,1,0
GQ,Greece,Lebanon,0,1,0
SN,Italy,Spain,0,3,0
TR,Malaysia,Indonesia,0,2,0
5W,Maldives,United Arab Emirates,0,5,0
AZ,Japan,Italy,2,3,2
AA,Argentina,Cuba,1,0,1
6E,United Arab Emirates,Thailand,1,0,1
ET,Italy,Switzerland,1,0,1
UP,The Bahamas,The Bahamas,0,1,0
AI,Italy,South Korea,0,1,0
A3,Cyprus,Turkey,1,0,1
W4,Italy,,0,48,0
LA,Italy,Chile,8,10,8
TP,Portugal,Germany,0,3,0
PC,Germany,Turkey,6,5,6
VY,France,United Kingdom,3,1,3
VJ,Vietnam,Italy,0,3,0
AA,Mexico,,2,0,2
9C,South Korea,China,1,0,1
6E,Turkey,Thailand,0,1,0
AF,Germany,Italy,1,0,1
FR,Malta,Turkey,0,1,0
TP,United States,Switzerland,0,1,0
IB,Italy,Guatemala,0,6,0
